127.0.0.1 - - [02/Oct/2022:13:24:16 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:24:48 +0630] "GET /JSP_SERVLET/request.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:24:48 +0630] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:25:49 +0630] "GET /JSP_SERVLET/request.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:48:02 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:52:16 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:55:45 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:55:47 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:55:48 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:55:49 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:09 +0630] "GET /JSP_SERVLET/response.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:09 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:13 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:14 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:15 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:26 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:47 +0630] "GET /JSP_SERVLET/response.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:56:47 +0630] "GET /JSP_SERVLET/expression.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:01:35 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:02:06 +0630] "GET /JSP_SERVLET/includetext.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:35:18 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:35:36 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:35:59 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:36:14 +0630] "GET /JSP_SERVLET/session-test.jsp HTTP/1.1" 500 2560
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:37:31 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:37:41 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:40:11 +0630] "GET /JSP_SERVLET/session-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:40:20 +0630] "POST /JSP_SERVLET/session-form-read.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:40:51 +0630] "GET /JSP_SERVLET/sesssion-test.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:40:56 +0630] "GET /JSP_SERVLET/sesssion-test.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:41:20 +0630] "GET /JSP_SERVLET/sesssion-test.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:41:21 +0630] "GET /JSP_SERVLET/sesssion-test.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:41:56 +0630] "GET /JSP_SERVLET/session-test.jsp HTTP/1.1" 200 258
