127.0.0.1 - - [30/Jan/2023:21:29:27 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:06 +0630] "GET /home/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:06 +0630] "GET /home/login HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:06 +0630] "GET /home/css/styles.css HTTP/1.1" 200 206091
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:06 +0630] "GET /home/css/custom.css HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:06 +0630] "GET /home/js/scripts.js HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:07 +0630] "GET /home/assets/school.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:16 +0630] "POST /home/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/main.jsp HTTP/1.1" 200 12767
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/css/style.css HTTP/1.1" 200 34742
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143629
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/js/main.js HTTP/1.1" 200 5802
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h3.jpg HTTP/1.1" 200 89800
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h1.jpg HTTP/1.1" 200 838109
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h2.jpg HTTP/1.1" 200 79245
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h4.jpg HTTP/1.1" 200 199997
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h5.jpg HTTP/1.1" 200 188361
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h6.jpg HTTP/1.1" 200 199102
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h7.jpg HTTP/1.1" 200 152174
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h8.jpg HTTP/1.1" 200 82938
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/image/h9.jpg HTTP/1.1" 200 64551
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/img/hero-bg.jpg HTTP/1.1" 200 162699
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:17 +0630] "GET /home/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:18 +0630] "GET /home/assets/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:24 +0630] "GET /home/add-home.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:50 +0630] "POST /home/house HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:30:51 +0630] "GET /home/image/house1.jpeg HTTP/1.1" 200 27254
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:31:13 +0630] "GET /home/house?mode=LOAD&id=29 HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [30/Jan/2023:21:37:04 +0630] "GET /home/house?mode=LOAD&id=29 HTTP/1.1" 200 3472
